TYPE OF FUEL,EX/IM,CONSUMPTION VALUE
Crude oil and ORF,Export,"16,027.9"
Crude oil and ORF,Import,"14,134.6"
Crude oil and ORF,Net Export,"1,893.4"
LPG,Export,"4,773.8"
LPG,Import,656.2
LPG,Net Export,"4,117.7"
Automotive gasoline,Export,10.9
Automotive gasoline,Import,"7,718.3"
Automotive gasoline,Net Export,"-7,707.3"
Aviation gasoline,Export,0.4
Aviation gasoline,Import,0.0
Aviation gasoline,Net Export,0.4
Aviation turbine fuel,Export,0.5
Aviation turbine fuel,Import,"2,679.4"
Aviation turbine fuel,Net Export,"-2,678.8"
