"State","Year","Energy Consumption per Capita"
"NSW","2016","185.4"
"NSW","2017","186.8"
"NSW","2018","183.5"
"NSW","2019","172.9"
"NSW","2020","164.1"
"VIC","2016","220.3"
"VIC","2017","204.7"
"VIC","2018","195.9"
"VIC","2019","183.7"
"VIC","2020","173.5"
"QLD","2016","310.8"
"QLD","2017","308.9"
"QLD","2018","298.4"
"QLD","2019","285.7"
"QLD","2020","277.0"
"SA","2016","166.2"
"SA","2017","191.4"
"SA","2018","184.7"
"SA","2019","178.1"
"SA","2020","172.6"
"WA","2016","454.9"
"WA","2017","461.6"
"WA","2018","474.8"
"WA","2019","466.5"
"WA","2020","453.3"
"TAS","2016","203.4"
"TAS","2017","204.7"
"TAS","2018","195.8"
"TAS","2019","177.6"
"TAS","2020","181.4"
"NT","2016","335.7"
"NT","2017","363.0"
"NT","2018","536.1"
"NT","2019","588.4"
"NT","2020","582.4"
"","",""
"","",""
"","",""
"","",""
